restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,Total Nutrient ,"Health_Score   1= HIGH_HEALTHY,0=LOW_HEALTHY"
Sonic,Sonic Burger W/ Mayonnaise,740,430,48,15,2,110,760,44,2,7,31,6,8,20,2223,1
Sonic,Sonic Cheeseburger W/ Mustard,710,380,43,17,2,120,1120,43,2,7,35,10,8,30,2527,1
Sonic,Sonic Cheeseburger W/ Ketchup,720,380,43,17,2,120,1190,47,2,10,35,15,10,30,2621,1
Sonic,Sonic Cheeseburger W/ Mayonnaise,800,480,54,18,2,130,1090,44,2,7,35,10,8,30,2710,1
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280,830,92,36,4,260,1630,44,2,7,67,15,6,40,4313,1
Sonic,Super Sonic Double Cheeseburger W/ Mustard,1120,680,76,32,4,235,1550,44,2,8,63,15,8,40,3877,1
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1130,680,76,32,4,235,1620,47,2,11,63,20,10,40,3970,1
Sonic,Super Sonic Double Cheeseburger W/ Mayo,1220,780,87,34,4,245,1520,45,2,8,63,15,8,40,4071,1
Sonic,Super Sonic Jalapeno Double Cheeseburger,1120,680,76,32,4,235,1690,43,2,7,63,15,2,40,4009,1
Sonic,Veggie Burger W/ Ketchup,450,130,14,4,1,10,1410,67,5,11,15,6,8,25,2156,1
Sonic,Veggie Burger With Mustard,450,130,14,4,1,10,1350,64,5,8,15,6,8,27,2092,1
Sonic,Veggie Burger W/ Mustard,450,130,14,4,1,10,1300,64,5,8,15,6,8,25,2040,1
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,610,270,30,7,1,110,1570,44,3,8,40,11,20,16,2740,1
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,680,350,39,9,1,80,1120,53,4,7,31,11,7,16,2408,1
Sonic,Grilled Chicken Sandwich,430,180,20,4,1,80,940,33,2,6,28,6,8,10,1748,1
Sonic,Crispy Chicken Sandwich,570,300,33,5,1,45,1060,47,4,6,23,6,8,10,2118,1
Sonic,Chicken Strip Sandwich,450,220,24,4,1,35,740,43,1,4,19,21,22,4,1589,1
Sonic,3 Piece Crispy Chicken Tender Dinner,280,130,14,3,1,74,800,16,4,8,22,21,22,25,1421,1
Sonic,5 Piece Crispy Chicken Tender Dinner,470,220,24,5,1,74,1340,26,4,8,37,21,22,25,2278,1
Sonic,Deluxe Ultimate Chicken Sandwich,740,350,39,8,1,90,1550,63,4,12,33,10,8,15,2923,1
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,1000,550,61,12,1,125,4520,70,5,12,23,21,22,25,6447,0
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350,900,100,17,1,190,2180,69,4,10,23,21,22,25,4913,1
Sonic,Small Jumbo Popcorn Chicken,380,190,22,4,1,45,1250,27,3,1,18,21,22,2,1987,1
Sonic,Large Jumbo Popcorn Chicken,560,290,32,6,1,65,1890,41,5,2,27,21,22,4,2967,1
Sonic,Small Spicy Jumbo Popcorn Chicken,350,150,17,3,1,45,860,30,2,8,21,10,22,2,1521,1
Sonic,Large Spicy Jumbo Popcorn Chicken,610,270,30,5,1,80,1500,51,3,8,36,17,22,3,2636,1
Sonic,3 Piece Super Crunch Chicken Strip Dinner,970,410,46,8,1,55,2160,109,7,9,30,1,6,13,3825,1
Sonic,4 Piece Super Crunch Chicken Strip Dinner,1080,460,51,9,1,75,2390,118,8,9,37,1,7,13,4259,1
Sonic,5 Piece Super Crunch Chicken Strip Dinner,1190,510,57,10,1,90,2610,126,8,9,44,2,8,14,4679,1
Sonic,3 Piece Super Crunch Chicken Strips,330,140,16,3,1,55,670,25,2,8,22,1,2,1,1276,1
Sonic,4 Piece Super Crunch Chicken Strips,440,190,21,4,1,70,900,34,2,1,29,1,2,1,1696,1
Sonic,5 Piece Super Crunch Chicken Strips,550,240,26,5,1,90,1120,42,3,1,36,1,3,2,2120,1
Sonic,Traditional Ultimate Chicken Sandwich,730,350,39,8,1,90,1540,62,3,11,32,4,2,15,2887,1
Sonic,Ultimate Chicken Club,100,580,64,15,1,100,2070,65,4,12,39,15,8,30,3103,1
Sonic,"All Beef All-american Style Dog – 6""",370,160,18,7,1,40,1180,40,1,15,12,2,4,8,1858,1
Sonic,"All Beef Chicago Dog – 6""",430,180,20,7,1,40,2310,49,1,17,14,4,6,10,3089,1
Sonic,"All Beef Chili Cheese Coney – 6""",410,230,26,11,1,65,1140,30,2,4,17,10,2,20,1968,1
Sonic,"All Beef New York Dog – 6""",340,170,19,7,1,40,1250,30,3,4,13,2,10,8,1897,1
Sonic,"All Beef Regular Hot Dog – 6""",320,160,18,7,1,40,870,27,1,3,11,21,2,8,1490,1
Sonic,Cheesy Bacon Pretzel Dog - 6 In.,500,240,26,10,1,50,1410,46,2,7,15,1,3,8,2319,1
Sonic,Corn Dog,210,100,11,4,1,20,530,23,2,4,6,21,22,4,959,1
Sonic,Footlong Quarter Pound Coney,830,490,54,22,1,85,1940,54,3,9,30,15,4,30,3567,1
Sonic,The Original Pretzel Dog,320,160,18,7,1,35,910,27,1,2,11,21,22,4,1540,1
Arbys,Arby's Melt,330,100,11,4,1,30,920,40,2,5,18,2,22,8,1494,1
Arbys,Arby-Q Sandwich,400,90,10,3,1,30,1230,58,3,23,18,4,10,10,1890,1
Arbys,Beef 'n Cheddar Classic,450,180,20,6,1,50,1280,45,2,9,23,2,2,15,2085,1
Arbys,Beef 'n Cheddar Mid,630,290,32,11,2,100,2100,48,2,9,39,2,2,15,3282,1
Arbys,Bourbon BBQ Brisket Sandwich,650,300,33,12,1,105,1460,51,2,15,38,21,22,25,2736,1
Arbys,Bourbon BBQ Chicken Sandwich,690,280,31,9,1,90,1990,66,3,16,38,21,22,25,3283,1
Arbys,Bourbon BBQ Steak Sandwich,690,280,31,9,1,90,1990,66,3,16,38,21,22,25,3283,1
Arbys,Buttermilk Buffalo Chicken Sandwich,540,220,24,5,1,60,2110,53,2,6,29,21,22,25,3119,1
Arbys,Buttermilk Chicken Bacon & Swiss,650,280,31,9,1,90,1750,56,2,9,39,21,22,25,2986,1
Arbys,Buttermilk Chicken Cordon Bleu Sandwich,690,310,35,10,1,110,2000,53,1,7,41,21,22,25,3327,1
Arbys,Buttermilk Crispy Chicken Sandwich,550,230,26,5,1,60,1480,52,2,6,29,21,22,25,2510,1
Arbys,Classic French Dip & Swiss/Au Jus,540,210,23,11,1,85,2500,50,2,3,35,2,8,15,3485,1
Arbys,Classic Roast Beef,360,120,14,5,1,50,970,37,2,5,23,21,22,6,1636,1
Arbys,Double Roast Beef,510,210,24,9,2,95,1610,38,2,5,38,21,22,6,2592,1
Arbys,Fire-Roasted Philly Steak,640,290,32,11,1,105,1950,46,3,4,42,21,22,25,3192,1
Arbys,Grand Turkey Club,480,220,24,7,1,65,1610,37,2,9,30,15,10,15,2525,1
Arbys,Greek Gyro,710,390,44,13,1,75,1360,55,4,6,23,21,22,25,2750,1
Arbys,Half Pound Beef 'n Cheddar Sandwich,740,350,39,14,2,130,2530,48,2,9,49,21,22,25,3982,1
Arbys,Half Pound French Dip & Swiss,750,330,36,17,2,150,3350,51,2,3,55,21,22,25,4815,1
Arbys,Half Pound Roast Beef Sandwich,610,270,30,12,2,130,2040,38,2,5,48,21,22,25,3256,1
Arbys,Ham & Swiss Melt,300,80,9,4,1,35,1030,37,2,6,18,2,22,15,1562,1
Arbys,Loaded Italian Sandwich,680,360,40,14,1,100,2270,49,3,7,32,21,22,25,3624,1
Arbys,Pecan Chicken Salad Flatbread,710,410,46,7,1,65,980,53,4,9,22,21,22,25,2375,1
Arbys,Pecan Chicken Salad Sandwich,840,400,44,6,1,75,1210,81,6,20,33,10,8,25,2759,1
Arbys,2 piece Prime-Cut Chicken Tenders,240,100,11,2,1,30,640,19,1,8,16,21,22,2,1113,1
Arbys,3 piece Prime-Cut Chicken Tenders,360,150,17,3,1,45,950,28,2,8,23,21,4,2,1614,1
Arbys,5 piece Prime-Cut Chicken Tenders,600,250,28,4,1,75,1590,47,3,8,39,21,8,2,2676,1
Arbys,Reuben Sandwich,680,280,31,8,1,80,2420,62,4,5,37,6,20,35,3669,1
Arbys,Roast Beef Gyro,550,260,29,7,1,60,1290,48,3,5,24,10,15,10,2312,1
Arbys,Roast Turkey & Swiss Sandwich,710,260,28,7,1,65,1930,79,5,15,38,20,10,45,3213,1
Arbys,Roast Turkey & Swiss Wrap,520,240,27,9,1,65,1640,39,4,6,30,20,10,35,2646,1
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800,310,34,10,1,80,2420,79,5,16,45,20,10,45,3875,1
Arbys,"Roast Turkey, Ranch & Bacon Wrap",620,310,34,11,1,85,2130,39,4,6,37,20,10,30,3337,1
Arbys,Smoke Mountain w/ Beef Short Rib,740,320,35,13,1,125,2050,62,4,17,43,21,22,25,3479,1
Arbys,Smokehouse Beef Short Rib Sandwich,590,250,59,10,1,75,1510,59,4,14,26,21,22,25,2667,1
Arbys,Smokehouse Brisket,600,310,35,12,1,110,1240,42,2,7,33,4,8,20,2424,1
Arbys,Super Roast Beef,430,160,17,5,1,45,1060,45,3,11,23,10,10,8,1828,1
Arbys,Three Cheese Steak Sandwich,650,320,36,15,1,115,1760,44,2,9,30,21,22,25,3051,1
Arbys,Triple Decker Sandwich,1030,459,51,17,1,155,2940,83,5,19,62,21,22,25,4891,1
Arbys,Turkey Avocado Club,730,252,28,6,1,65,2140,80,6,16,41,21,22,25,3434,1
Arbys,Turkey Gyro,470,180,20,4,1,45,1520,48,3,5,25,10,15,10,2356,1
Arbys,Ultimate BLT,980,495,55,14,1,85,2130,80,6,19,43,21,22,25,3977,1
Arbys,Buffalo Chicken Slider,290,120,13,2,1,20,860,31,2,2,12,21,22,25,1422,1
Arbys,Chicken Tender 'n Cheese Slider,290,110,12,4,1,25,720,30,1,1,15,21,22,25,1278,1
Arbys,Corned Beef 'n Cheese Slider,220,80,9,4,1,30,890,21,1,1,14,21,22,25,1340,1
Arbys,Ham 'n Cheese Slider,210,70,8,3,1,25,780,21,1,2,13,21,22,25,1203,1
Arbys,Jalapeno Roast Beef 'n Cheese Slider,240,90,11,5,1,30,670,21,1,1,14,21,22,25,1153,1
Arbys,Pizza Slider,300,150,17,6,1,35,930,23,1,2,13,21,22,25,1547,1
Arbys,Roast Beef 'n Cheese Slider,240,90,11,5,1,30,670,21,1,1,14,21,22,25,1153,1
Arbys,Turkey 'n Cheese Slider,200,60,7,3,1,25,760,21,1,2,14,21,22,25,1163,1
Arbys,Chopped Side Salad,70,45,5,3,1,15,100,4,1,2,5,35,10,10,306,1
Arbys,Crispy Chicken Farmhouse Salad,430,220,24,8,1,65,1000,26,4,4,28,60,20,25,1915,1
Arbys,Greek Gyro Salad,420,340,37,9,1,55,700,11,2,4,10,21,22,25,1658,1
Arbys,Roast Turkey Farmhouse Salad,230,120,13,7,1,55,870,8,2,5,22,60,20,25,1438,1
Arbys,Super Greek Salad,720,480,53,15,1,85,1310,39,5,7,22,21,22,25,2806,1
Burger King,American Brewhouse King,1550,1134,126,47,8,805,1820,21,3,7,134,21,22,25,5724,0
Burger King,Bacon & Swiss Sourdough King,1000,585,65,24,3,200,1320,48,2,8,56,21,22,25,3380,1
Burger King,Bacon Cheeseburger,330,140,16,7,1,55,830,32,1,7,18,21,22,25,1506,1
Burger King,Bacon Cheeseburger Deluxe,290,120,14,6,1,40,720,28,1,7,12,21,22,25,1307,1
Burger King,Bacon King,1040,630,48,28,3,220,1900,48,1,10,57,21,22,25,4053,1
Burger King,Bacon King Jr,730,351,39,9,1,90,1930,63,4,16,32,21,22,25,3334,1
Burger King,BBQ Bacon King,1100,675,75,29,3,220,1850,51,4,13,57,21,22,25,4146,1
Burger King,Cheeseburger,300,130,14,6,1,45,710,28,1,6,16,21,22,25,1326,1
Burger King,Double Bacon Cheeseburger,520,280,31,14,1,105,1180,33,1,8,31,21,22,25,2273,1
Burger King,Double Cheeseburger,450,230,26,12,1,95,960,29,1,6,26,21,22,25,1905,1
Burger King,Double Hamburger,360,160,18,8,1,70,520,28,1,6,22,21,22,25,1263,1
Burger King,Double Quarter Pound King,900,486,54,25,3,210,1740,50,2,11,56,21,22,25,3606,1
Burger King,Extra Long Cheeseburger,580,300,33,13,2,85,1030,45,2,9,26,21,22,25,2193,1
Burger King,Farmhouse King,1220,720,80,28,3,335,2050,62,4,15,28,21,22,25,4614,1
Burger King,Hamburger,260,90,10,4,1,35,490,28,1,6,13,21,22,25,1007,1
Burger King,Homestyle Cheeseburger,550,250,27,12,2,95,1140,48,2,10,30,21,22,25,2234,1
Burger King,Jalapeno King Sandwich,990,585,65,24,3,205,1550,46,2,7,55,21,22,25,3601,1
Burger King,Mushroom & Swiss King,940,567,63,21,3,175,1380,45,4,8,49,21,22,25,3324,1
Burger King,Rodeo Burger,310,110,13,4,1,25,450,38,1,9,9,21,22,25,1038,1
Burger King,Rodeo King,1250,738,82,31,4,230,2270,69,3,14,60,21,22,25,4819,1
Burger King,Sourdough King Single,730,387,43,16,2,125,1570,52,2,12,35,21,22,25,3042,1
Burger King,Sourdough King Double,970,549,61,24,3,205,1640,52,2,12,55,21,22,25,3642,1
Burger King,Steakhouse King,1100,666,74,24,1,180,1620,59,4,13,50,21,22,25,3860,1
Burger King,Bacon & Cheese Whopper,770,432,48,16,2,95,1360,47,2,9,29,21,22,25,2879,1
Burger King,DOUBLE WHOPPER w/o Cheese,900,510,57,19,2,140,1050,51,3,11,47,21,22,25,2859,1
Burger King,DOUBLE WHOPPER w/ Cheese,990,580,65,24,2,160,1480,53,3,11,52,21,22,25,3489,1
Burger King,WHOPPER w/o Cheese,660,360,40,12,2,90,980,49,2,11,28,21,22,25,2302,1
Burger King,WHOPPER w/ Cheese,760,430,47,16,1,100,1410,53,3,11,33,21,22,25,2933,1
Burger King,WHOPPER JR. w/o Cheese,340,170,19,5,1,40,510,28,2,6,14,21,22,25,1204,1
Burger King,WHOPPER JR. w/ Cheese,380,210,23,8,1,55,730,29,2,6,16,21,22,25,1529,1
Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590,360,40,12,1,150,1540,18,3,6,42,21,22,25,2831,1
Burger King,Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,450,50,13,1,120,1960,32,5,7,36,21,22,25,3463,1
Burger King,Chicken BLT Salad w/ Grilled Chicken,550,330,37,10,1,115,1640,17,3,5,36,21,22,25,2813,1
Burger King,Chicken BLT Salad w/ Crispy Chicken,690,430,48,12,1,100,1750,31,4,8,35,21,22,25,3178,1
Burger King,Chicken Caesar Salad w/ Grilled Chicken,530,290,32,5,1,95,1640,26,3,6,35,21,22,25,2732,1
Burger King,Chicken Caesar Salad w/ Crispy Chicken,670,380,43,7,1,80,1760,40,5,8,34,21,22,25,3097,1
Burger King,"Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560,270,30,7,1,90,980,40,4,34,29,21,22,25,2114,1
Burger King,"Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700,370,41,9,1,80,1090,54,5,37,28,21,22,25,2484,1
Burger King,"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320,120,14,6,1,115,650,16,2,4,36,21,22,25,1353,1
Burger King,"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,220,24,7,1,85,1070,30,5,6,29,21,22,25,1996,1
Burger King,Side Caesar Salad with dressing,220,180,20,4,1,10,540,7,2,3,6,21,22,25,1062,1
Burger King,Side Garden Salad and Avocado Ranch Dressing,230,190,21,5,1,30,520,7,2,3,5,21,22,25,1083,1
Burger King,Bacon Cheddar Ranch Crispy Chicken Sandwich,830,468,52,14,1,110,2100,57,4,9,34,21,22,25,3748,1
Burger King,BBQ Bacon Crispy Chicken Sandwich,440,243,27,5,1,15,630,44,4,13,7,21,22,25,1498,1
Burger King,Big Fish Sandwich,530,250,27,5,1,30,1360,54,2,7,17,21,22,25,2352,1
Burger King,BK VEGGIE Burger,410,150,16,3,1,5,1030,44,7,8,22,21,22,25,1765,1
Burger King,Chicken Burger,480,220,25,3,1,5,1160,42,2,10,22,21,22,25,2039,1
Burger King,Chicken Cordon Bleu Sandwich,730,351,39,9,1,90,1930,63,4,16,32,21,22,25,3334,1
Burger King,Chicken Fries,290,150,17,3,2,40,780,18,1,1,16,21,22,25,1386,1
Burger King,4 Piece Chicken Nuggets,190,100,11,2,1,25,310,10,1,8,10,21,22,25,737,1
